,max GSR,min GSR,mean GSR,number of peaks,number of peaks SCIPY,number of valleys,mean time between peaks,median time between peaks,mean height of peaks,median height of peaks,variance height of peaks,ratio of peaks,ratio of valleys
0,10.616757755132003,6.552884504789379,7.602410703259724,3.110032966349443e-05,3.110032966349443e-05,3.110032966349443e-05,0.5379216686363543,0.5604538574775559,0.13965077190239336,0.1435816326391057,0.012450007340603815,1.6120508419633862e-10,1.6120508419633862e-10
0,11.73710522924755,8.062103702541753,8.898573820862815,3.4255256469105186e-05,2.740420517528415e-05,3.4255256469105186e-05,0.5439597706268027,0.5955687400231565,0.24397089260036778,0.15450395798402136,0.0612376672938682,2.3468451915283453e-10,2.3468451915283453e-10
0,14.64693223854994,8.886335770289776,12.670258585795068,5.530998944501035e-05,4.609165787084196e-05,4.609165787084196e-05,0.4992003097359409,0.5079070239077429,0.23076046123735608,0.21032948110761257,0.013893253318187063,2.5493291103392966e-10,2.1244409252827474e-10
0,14.994556388084167,6.842081450674469,9.473160296384947,2.7555268980758155e-05,3.3066322776909786e-05,3.3066322776909786e-05,0.29747566180867274,0.21695365479310127,0.209313580288604,0.18204619917225856,0.02344748266927488,7.592928486019325e-11,9.11151418322319e-11
0,13.197269180369501,8.481505300181778,10.08543413097295,4.0515355319666154e-05,3.4727447416856705e-05,3.4727447416856705e-05,0.3850405732343987,0.330599511500573,0.16840519953684624,0.14377508855045745,0.021884660784616386,1.1724957261991432e-10,1.0049963367421228e-10
0,10.404099690929227,8.879638517764686,9.30705810134537,3.7823793493725614e-05,3.200474834084475e-05,3.4914270917285186e-05,0.4612000616818786,0.444964925705341,0.05715104764821656,0.03123394554958251,0.0032365831933380026,1.1004918109661539e-10,1.0158385947379883e-10
0,11.085664669056834,9.564769992587392,10.291864343538927,4.805927893605495e-05,4.805927893605495e-05,4.805927893605495e-05,0.4625268695059506,0.46701822757379285,0.08782022957213298,0.07483820130004447,0.002646039107517074,2.0997220835032134e-10,2.0997220835032134e-10
0,13.229877427293571,8.760074798412422,10.503232035186969,5.0282588145377016e-05,5.698693323142729e-05,5.698693323142729e-05,0.4599214250755915,0.4457886656341975,0.2768666887057667,0.2768068332155792,0.0201005364494762,1.6855591137317396e-10,1.9103003288959716e-10
0,12.816920416960286,8.743960200779068,9.480927407433079,1.5859824526901435e-05,1.5859824526901435e-05,1.2687859621521147e-05,0.40731201349988266,0.45280909212020476,0.24259536189252867,0.10143143556187272,0.09547986776620737,5.0306806804820864e-11,4.024544544385669e-11
0,13.478284932796617,7.654496571419434,10.215845873900403,4.0741771859658174e-05,4.0741771859658174e-05,4.7532067169601205e-05,0.523368801309169,0.5292220358663399,0.2255946377991334,0.2439618208752682,0.01738786203176977,2.766486623774058e-10,3.227567727736401e-10
0,11.25931855645761,8.370212597209697,9.11519300917355,2.8461850447206826e-05,2.8461850447206826e-05,3.5577313059008535e-05,0.3732629376898939,0.274400700161521,0.09473099378806549,0.04097900346184505,0.01484953049107583,2.0251923271979185e-10,2.531490408997398e-10
0,2.5097191394075353,2.2919603398840103,2.400253074166421,4.9512303807496165e-05,3.300820253833077e-05,3.5758886083191675e-05,0.522701391295737,0.5476115814779973,0.00802077820764164,0.006810978603986538,4.143481637489147e-05,1.361926793514333e-10,9.836137953159071e-11
0,5.9767375594232535,4.350224414400442,5.2099467498944945,6.220065932698886e-05,5.7017271049739795e-05,5.7017271049739795e-05,0.5465157264000332,0.5652744085753976,0.13837294974823375,0.1255042467966982,0.007269700130542263,3.2241016839267724e-10,2.9554265435995415e-10
0,8.734989899421569,5.302214778811804,6.820880318036457,6.851051293821037e-05,5.48084103505683e-05,5.48084103505683e-05,0.4824099258031145,0.5231394257448806,0.21853234848615583,0.24561574101662303,0.01921324835167351,4.693690383056691e-10,3.7549523064453525e-10
0,2.948495996795179,2.081209196251177,2.4079232999686213,4.148249208375776e-05,3.6873326296673563e-05,3.6873326296673563e-05,0.45992099889840937,0.49947685968316596,0.021438102672149656,0.014938898699990842,0.00038075959843438814,1.9119968327544727e-10,1.6995527402261977e-10
0,2.627039818410309,1.872529099937778,2.1838966595276728,2.479974208268234e-05,3.3066322776909786e-05,3.3066322776909786e-05,0.2937005899583089,0.258486333964349,0.0091097721201612,0.0055735278448923,0.00011872347205256619,6.833635637417393e-11,9.11151418322319e-11
0,2.4551145532768532,2.270043404092159,2.3550904663555814,3.4727447416856705e-05,2.8939539514047253e-05,2.8939539514047253e-05,0.515008045191985,0.3906259043606098,0.007899529293743584,0.007359682988445479,3.366518860019541e-05,1.0049963367421228e-10,8.374969472851023e-11
0,3.955587872864293,3.090881636205087,3.31872289403755,2.9095225764404318e-05,3.7823793493725614e-05,3.7823793493725614e-05,0.35634668707211836,0.35036761817753326,0.058052823291115406,0.030245479197845475,0.00318405089700788,8.465321622816568e-11,1.1004918109661539e-10
0,3.096130654095133,2.5258564682556996,2.726846388910957,3.058317750476224e-05,2.621415214693906e-05,2.621415214693906e-05,0.3475909194176963,0.3382237290505234,0.0293514646777282,0.01865532062988875,0.0008784718079259636,1.336186780411136e-10,1.1453029546381162e-10
0,10.8842153748969,4.280052258369012,7.54875153314497,6.033910577445242e-05,6.369127831747756e-05,6.704345086050269e-05,0.3753963944032127,0.3499467004565659,0.24046547936696214,0.2595606324954121,0.027787399883373035,2.0226709364780876e-10,2.2474121516423196e-10
0,1.929837796688,1.8611786961002994,1.8853892803249594,4.75794735807043e-05,2.8547684148422582e-05,3.171964905380287e-05,0.5477126961067302,0.5784918575660879,0.0018253680451808395,0.0012331360321727965,2.004502596647758e-06,1.5092042041446259e-10,1.0061361360964173e-10
0,2.512951080379161,2.153538531099387,2.2857313229655625,4.7532067169601205e-05,4.0741771859658174e-05,4.0741771859658174e-05,0.4971175196409292,0.5060739191547441,0.00823842466131671,0.0043203175256206015,5.19932536624589e-05,3.227567727736401e-10,2.766486623774058e-10
0,2.1984656284145303,2.081282415662654,2.1421459014182194,4.9808238282611946e-05,2.8461850447206826e-05,2.8461850447206826e-05,0.43481168928197866,0.47310710905869546,0.003047627342159967,0.001955595558721622,1.3282007163148187e-05,3.544086572596357e-10,2.0251923271979185e-10
0,8.783985232235626,6.976835063290217,7.769102711605733,3.0257518993469876e-05,3.0257518993469876e-05,3.0257518993469876e-05,0.30138139327622915,0.30811781727759346,0.11262939933162039,0.0682369227941921,0.0067014559849444995,8.322885960365366e-11,8.322885960365366e-11
0,6.380413765057783,5.978055419642567,6.178072304086477,2.073355310899629e-05,5.1833882772490725e-06,5.1833882772490725e-06,0.4534168895523626,0.41335966494578175,0.0023642824670305333,0.0007298544864870119,1.1095765870900852e-05,1.0747005613089243e-10,2.6867514032723106e-11
0,7.4232941095269425,6.219347528232239,6.596207526740041,1.3702102587642075e-05,1.3702102587642075e-05,6.851051293821037e-06,0.11831080479299548,0.11831080479299548,0.06999722451054734,0.06999722451054734,0.002562556842653782,9.387380766113381e-11,4.6936903830566906e-11
0,12.142782517563823,6.310845743805652,10.081585712756224,5.9919155232094547e-05,3.6873326296673563e-05,3.6873326296673563e-05,0.4559755529846653,0.4398181223180417,0.09732798171727496,0.08948541398757202,0.0027204721464917227,2.761773202867572e-10,1.6995527402261977e-10
0,7.235249935916705,6.516076586341611,6.837263047229317,1.3777634490379077e-05,1.1022107592303262e-05,1.1022107592303262e-05,0.5847476075137708,0.5835847751627827,0.030506429230753262,0.015768827423914125,0.001056667906597188,3.7964642430096626e-11,3.0371713944077306e-11
0,8.039645494481913,7.436265874267692,7.66766730463757,3.7621401368261426e-05,2.31516316112378e-05,2.31516316112378e-05,0.5564234201905379,0.5748101566207878,0.04791341092072268,0.040782626941774605,0.0015483716334300157,1.0887460314706329e-10,6.699975578280818e-11
