ibi,bpm,sdsd,rmssd,pnn50,pnn20,pnn50pnn20,lf,hf,vlf,flf,Vhf,fvlf,maxSig,minSig,meanSig,sdSig,varSig
700.729927,85.52590657,284.8541558,118122.7535,0.373626374,0.395604396,0.944444444,4.50E-10,2.73E-07,8.72E-11,8.01E-08,2.30E-07,2.65E-08,0.552221299,-0.421412411,2.49E-06,0.104969534,0.011018603
784.4162162,76.45773244,422.5661136,134009.4334,0.451086957,0.467391304,0.965116279,1.02E-08,2.21E-07,2.19E-09,2.14E-07,5.77E-07,6.63E-08,0.571919631,-0.419928444,1.46E-05,0.115932531,0.013440352
739.6027397,81.02913454,281.5211793,94199.98337,0.412371134,0.4604811,0.895522388,6.18E-09,2.46E-07,1.96E-09,3.36E-08,9.92E-08,1.10E-08,0.596172618,-0.431684486,1.10E-05,0.117758032,0.013866954
750.4223602,80.02050112,366.2979924,126019.4622,0.423236515,0.437759336,0.966824645,6.30E-09,1.59E-07,2.08E-09,3.21E-10,8.08E-09,1.15E-10,0.52846552,-0.417211569,8.60E-06,0.102494491,0.010505121
763.5221239,78.6576684,388.8875024,133107.7486,0.414634146,0.436807095,0.949238579,6.96E-08,3.34E-07,2.33E-08,6.29E-09,2.07E-08,2.12E-09,0.534368881,-0.421794981,-3.00E-05,0.10368653,0.010750896
774.0993228,77.50968144,398.9503592,142608.1949,0.42760181,0.450226244,0.949748744,1.40E-08,4.85E-07,4.08E-09,1.96E-08,6.37E-08,6.56E-09,0.52403644,-0.430545089,1.25E-05,0.099485499,0.009897365
747.3344262,80.21530557,391.4767122,140650.6904,0.424342105,0.4375,0.969924812,1.82E-08,1.16E-07,5.33E-09,1.24E-10,1.34E-08,3.73E-12,0.482942973,-0.417413204,1.82E-05,0.095988987,0.009213886
738.9354839,81.25666244,336.9442859,121389.189,0.407960199,0.432835821,0.942528736,5.66E-10,1.11E-07,1.64E-10,4.70E-08,1.40E-07,1.53E-08,0.547288774,-0.407368303,2.73E-06,0.106957191,0.011439841
728.3032407,82.40764824,338.369472,124470.5101,0.415313225,0.438515081,0.947089947,5.47E-08,2.64E-07,1.93E-08,3.86E-11,6.88E-09,4.15E-12,0.582282715,-0.426636479,-2.84E-05,0.107842352,0.011629973
767.6596859,78.22420197,388.3934007,115107.4182,0.473684211,0.473684211,1,3.53E-07,1.53E-06,1.08E-07,3.89E-09,2.90E-08,8.02E-10,0.564242738,-0.40858616,0.000103725,0.112138368,0.012575014
735.9052632,81.54320153,357.7679657,130406.9414,0.428571429,0.444444444,0.964285714,1.20E-07,8.84E-07,3.85E-08,9.10E-09,4.98E-08,2.98E-09,0.559046714,-0.420403338,6.20E-05,0.109672731,0.012028108
877.3333333,68.49202027,351.1464666,97097.48775,0.489104116,0.493946731,0.990196078,1.05E-07,9.90E-07,3.40E-08,5.58E-08,2.93E-07,1.77E-08,1.127704254,-0.862087757,-3.48E-05,0.238532849,0.05689792
984,60.95664614,418.6806509,218993.4009,0.396907216,0.443298969,0.895348837,4.40E-07,1.85E-06,1.37E-07,2.15E-07,7.16E-07,6.83E-08,1.121114757,-0.878535671,9.87E-05,0.250744282,0.062872695
873.439759,68.64753396,340.5173417,87570.79831,0.478787879,0.484848485,0.9875,7.94E-07,3.66E-06,2.33E-07,1.73E-08,2.56E-07,2.47E-09,1.157008809,-0.890837632,0.000152439,0.244405114,0.05973386
627.7296512,95.40973179,206.7815896,78505.77595,0.565597668,0.61516035,0.91943128,9.30E-08,1.01E-06,2.94E-08,1.49E-07,7.73E-07,4.66E-08,1.027161299,-0.779298221,4.28E-05,0.214211,0.045886353
897.1287129,66.95930362,359.4412938,111429.1549,0.476426799,0.481389578,0.989690722,4.43E-10,3.23E-07,1.55E-10,3.58E-07,1.39E-06,1.25E-07,1.180089264,-0.898300658,-2.36E-06,0.242094747,0.058609866
871.3459596,68.93398312,345.5028243,125131.1722,0.470886076,0.486075949,0.96875,1.65E-07,1.09E-06,5.20E-08,5.97E-08,1.87E-07,2.08E-08,1.223771281,-0.93085656,-4.46E-05,0.242140205,0.058631879
793.5150115,75.76396789,296.4596855,99774.11283,0.490740741,0.527777778,0.929824561,1.88E-07,1.34E-06,5.74E-08,2.82E-07,9.08E-07,9.14E-08,1.095911221,-0.835058119,-4.68E-05,0.233114568,0.054342402
859.0601504,69.99178623,330.7551237,100409.8367,0.490566038,0.501886792,0.977443609,2.35E-08,2.89E-07,7.61E-09,4.56E-07,1.72E-06,1.42E-07,1.110188602,-0.827996265,2.18E-05,0.234661757,0.05506614
