max GSR,min GSR,mean GSR,number of peaks,number of peaks SCIPY,number of valleys,mean time between peaks,median time between peaks,mean height of peaks,median height of peaks,variance height of peaks,ratio of peaks,ratio of valleys
3.607920072,3.345361462,3.427003286,2.48E-05,1.93E-05,1.65E-05,145950,170476,0.00247665,0.001961304,6.47E-06,6.83E-11,4.56E-11
4.65680108,4.177061279,4.382786821,3.18E-05,3.47E-05,3.47E-05,142970,123719.5,0.024261607,0.012782755,0.000549861,9.21E-11,1.00E-10
4.50430391,3.980680681,4.203599387,2.91E-05,2.33E-05,2.33E-05,144251,121360,0.015715564,0.0110196,0.000140621,8.47E-11,6.77E-11
4.320052464,3.962458723,4.085750102,4.37E-06,2.18E-05,2.18E-05,0,0,0.046891473,0.046891473,0,1.91E-11,9.54E-11
6.176735287,4.658332309,5.290107541,4.69E-05,4.02E-05,4.02E-05,136719,132878,0.059092166,0.046327483,0.00203019,1.57E-10,1.35E-10
3.718783571,3.484892053,3.568319568,1.90E-05,9.52E-06,6.34E-06,116807,62945,0.001800405,0.000869082,5.89E-06,6.04E-11,2.01E-11
6.322905922,3.886973275,4.948746841,4.07E-05,3.40E-05,3.40E-05,56209,55554,0.092819306,0.093848796,0.001636104,2.77E-10,2.31E-10
4.476603416,3.939542011,4.079209257,3.56E-05,2.85E-05,2.13E-05,58006,50008.5,0.012991775,0.012839482,9.17E-05,2.53E-10,1.52E-10
12.84943717,10.2985906,11.00954788,6.05E-05,5.78E-05,5.78E-05,172473,168581,0.130823563,0.10347496,0.008526267,1.66E-10,1.59E-10
10.53191402,8.788750556,9.346906424,5.18E-05,4.15E-05,4.15E-05,83711,94104,0.064711893,0.026484917,0.005185206,2.69E-10,2.15E-10
12.74645728,10.11932536,10.95663303,6.17E-05,4.11E-05,3.43E-05,69401,69447.5,0.130821172,0.137554489,0.009714237,4.22E-10,2.35E-10
11.13044562,9.037696545,10.27769185,5.99E-05,6.45E-05,6.45E-05,115243,119926,0.160975253,0.151017115,0.006516469,2.76E-10,2.97E-10
13.96884832,10.65682252,11.85847292,3.58E-05,3.86E-05,3.86E-05,124526,87456,0.156887963,0.174810056,0.012539508,9.87E-11,1.06E-10
9.368329957,7.827051872,8.249375194,5.50E-05,4.05E-05,4.05E-05,174177,173608.5,0.059114899,0.044115252,0.00248396,1.59E-10,1.17E-10
10.63958695,7.342552228,8.220348611,4.66E-05,4.07E-05,3.78E-05,116553,111427,0.092637371,0.074153312,0.004542923,1.35E-10,1.10E-10
9.649628362,7.798906753,8.422416878,3.93E-05,4.37E-05,4.37E-05,92714,82126,0.142464144,0.135295321,0.013166695,1.72E-10,1.91E-10
12.71608222,9.711281534,11.07118005,6.70E-05,7.04E-05,7.04E-05,136846,132252,0.144572012,0.130561867,0.009380977,2.25E-10,2.36E-10
