ECG_Rate_Mean,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_pNN50,HRV_pNN20,HRV_TINN,HRV_HTI,HRV_LF,HRV_HF,HRV_VHF,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,HRV_S,HRV_CSI,HRV_CVI,HRV_CSI_Modified,HRV_PIP,HRV_IALS,HRV_PSS,HRV_PAS,HRV_GI,HRV_SI,HRV_AI,HRV_PI,HRV_C1d,HRV_C1a,HRV_SD1d,HRV_SD1a,HRV_C2d,HRV_C2a,HRV_SD2d,HRV_SD2a,HRV_Cd,HRV_Ca,HRV_SDNNd,HRV_SDNNa,HRV_ApEn,HRV_SampEn,max GSR,min GSR,mean GSR,number of peaks,number of peaks SCIPY,number of valleys,mean time between peaks,median time between peaks,mean height of peaks,median height of peaks,variance height of peaks,ratio of peaks,ratio of valleys,labels
37.40604012,39.06905815,1604.194595,55.75962554,39.17438366,0.034758642,0.024354314,1610,56.3388,0.034993043,72,21.08108108,61.08108108,370,5.441176471,0.016613102,0.006189513,2.97E-05,2.684072505,0.727612441,0.271085241,-5.084898841,27.70047234,73.9886267,0.374388248,6438.756684,2.67102401,4.515772124,790.5015934,0.567567568,0.571428571,0.923076923,0.046153846,50.49370106,50.49491761,50.49180642,48.35164835,0.507313356,0.492686644,19.73056213,19.44404892,0.459864092,0.540135908,50.17411447,54.37715621,0.465697608,0.534302392,38.12306942,40.83470433,0.938231322,1.603449871,13.22987743,8.760074798,10.50323204,5.03E-05,5.70E-05,5.70E-05,137201,132985,0.276866689,0.276806833,0.020100536,1.69E-10,1.91E-10,0
36.22343535,40.04439026,1656.534392,49.84235928,40.1512033,0.030088334,0.024173594,1659,48.9258,0.029491139,67,15.34391534,57.14285714,278,5.25,0.027187008,0.008229591,2.95E-05,3.303567434,0.766995876,0.232172005,-4.800018986,28.39118812,64.69844937,0.438823317,5770.684251,2.278821481,4.468197422,589.7448648,0.529100529,0.52972973,0.836734694,0.015625,49.84445213,49.84770271,49.84140926,42.16216216,0.413337402,0.586662598,18.25312221,21.74598125,0.550704202,0.449295798,48.01236147,43.36706696,0.528523215,0.471476785,36.3205405,34.30444721,0.895460264,1.676129287,12.81692042,8.743960201,9.480927407,1.59E-05,1.59E-05,1.27E-05,128410,142753.5,0.242595362,0.101431436,0.095479868,5.03E-11,4.02E-11,1
38.27733052,35.78680835,1568.010753,70.46298668,35.91511333,0.044937821,0.022823063,1560,66.717,0.042767308,86,10.75268817,50.53763441,411,4.227272727,0.005373561,0.000915303,5.95E-06,5.8708034,0.853649407,0.145405892,-6.996255872,25.39582018,93.02812458,0.272990779,7422.09283,3.663127393,4.577496492,1363.095486,0.516129032,0.532608696,0.836734694,0.12,54.11572942,54.49041086,53.77036213,44.56521739,0.584770505,0.415229495,19.4569121,16.39552338,0.586588913,0.413411087,71.24939666,59.81434142,0.586462354,0.413537646,52.22570226,43.85526552,0.561668363,0.935460648,13.47828493,7.654496571,10.21584587,4.07E-05,4.07E-05,4.75E-05,77076,77938,0.225594638,0.243961821,0.017387862,2.77E-10,3.23E-10,3
35.68285836,34.79161954,1681.573171,69.96189977,34.92448202,0.041605029,0.020689923,1699,63.0105,0.037086816,95,17.07317073,63.41463415,291,4.315789474,0.002992498,0.00200318,6.77E-06,1.493873305,0.598206876,0.400440167,-6.213019114,24.69533807,94.70965133,0.260747851,7347.82977,3.835122689,4.573129196,1452.892531,0.548780488,0.567901235,0.847826087,0,54.11218895,54.28108383,53.94882059,39.50617284,0.505849236,0.494150764,17.60628439,17.40150856,0.646188278,0.353811722,76.13314586,56.33526566,0.637213899,0.362786101,55.25503212,41.69217347,0.680751035,1.678430784,11.25931856,8.370212597,9.115193009,2.85E-05,2.85E-05,3.56E-05,52458,38564,0.094730994,0.040979003,0.01484953,2.03E-10,2.53E-10,3
44.44590879,562.1300156,1392.684615,471.4870181,563.2097306,0.338545434,0.40363052,1694,202.3749,0.119465702,731.75,60.76923077,77.69230769,1572,2.626262626,0.083478628,0.142223047,0.007128808,0.586955696,0.358538222,0.610843757,-1.950358699,398.2494197,535.1892844,0.744128164,669595.3572,1.343854524,6.532782544,2876.866164,0.557692308,0.562015504,0.8,0.126760563,49.60567515,51.10574206,48.19468792,41.86046512,0.398314851,0.601685149,251.3477817,308.9203034,0.630217503,0.369782497,424.8666473,325.447234,0.547568974,0.452431026,349.0611518,317.2913929,0.732583171,0.565920683,2.509719139,2.29196034,2.400253074,4.95E-05,3.30E-05,3.58E-05,190026,199082,0.008020778,0.006810979,4.14E-05,1.36E-10,9.84E-11,1
35.47539198,22.77921985,1691.212389,34.80851993,22.8795669,0.020581992,0.013469166,1690,35.5824,0.021054675,44,0.884955752,38.9380531,181,4.346153846,0.004319365,0.002667822,1.41E-05,1.619060822,0.616940827,0.38104858,-5.926493007,16.17829691,46.64113109,0.346867594,2370.564345,2.882944438,4.081821858,537.8551579,0.592920354,0.603603604,0.895522388,0.09375,49.16584887,49.16201599,49.17001064,53.15315315,0.492325693,0.507674307,11.35265973,11.5282653,0.441390808,0.558609192,30.98708448,34.85965726,0.446861858,0.553138142,23.33540537,25.96244023,0.763306751,2.079441542,5.976737559,4.350224414,5.20994675,6.22E-05,5.70E-05,5.70E-05,105436,109055,0.13837295,0.125504247,0.0072697,3.22E-10,2.96E-10,0
36.91750197,23.09860287,1625.438202,47.09973824,23.2061206,0.02897664,0.014210693,1630,47.4432,0.029106258,71,1.123595506,35.95505618,209,3.708333333,0.003558762,0.001395863,5.99E-06,2.549505855,0.717403296,0.281389154,-6.574242243,16.40920524,63.88954189,0.256837109,3293.572243,3.89351836,4.224637304,995.0204175,0.550561798,0.568181818,0.82,0.095238095,52.87990196,52.77264441,52.98972043,48.86363636,0.535972909,0.464027091,12.02607321,11.18984556,0.542960115,0.457039885,47.07753753,43.19234913,0.542526856,0.457473144,34.35783009,31.54989435,0.609540698,1.115561847,8.734989899,5.302214779,6.820880318,6.85E-05,5.48E-05,5.48E-05,70414,76359,0.218532348,0.245615741,0.019213248,4.69E-10,3.75E-10,0
41.60278314,566.3764655,1485.347222,452.2910802,568.3670317,0.304501919,0.381309136,1766.5,54.8562,0.031053609,636.25,50,71.52777778,1253,1.5,0.058668484,0.123494484,0.006012373,0.475069674,0.311775623,0.656273469,-2.091558791,401.8961823,499.274437,0.804960464,630380.9553,1.242297038,6.506573194,2480.988617,0.534722222,0.539007092,0.763157895,0.023809524,49.93471504,52.10021661,47.96129479,41.13475177,0.366358018,0.633641982,243.257869,319.9160431,0.66079461,0.33920539,405.8565661,290.7841316,0.545025135,0.454974865,334.5847748,305.697306,0.49932423,0.452032056,2.948495997,2.081209196,2.4079233,4.15E-05,3.69E-05,3.69E-05,99784,108366,0.021438103,0.014938899,0.00038076,1.91E-10,1.70E-10,3
43.55053934,560.6629687,1421.822835,480.1484332,561.7742918,0.3376992,0.394326884,1735,141.5883,0.081607089,712,56.2992126,78.74015748,1933,2.466019417,0.036627656,0.079931116,0.006071792,0.458240268,0.298682929,0.651804194,-2.526590066,397.2344112,551.4291516,0.720372527,688155.2973,1.388170652,6.544656567,3061.911059,0.582677165,0.585657371,0.87755102,0.109589041,49.99373368,51.07913273,48.99405776,43.42629482,0.428052603,0.571947397,259.8935107,300.4172792,0.577843976,0.422156024,419.1746559,358.2830126,0.526668552,0.473331448,348.7492144,330.6185557,0.725372278,0.434269215,2.627039818,1.8725291,2.18389666,2.48E-05,3.31E-05,3.31E-05,106586,93806.5,0.009109772,0.005573528,0.000118723,6.83E-11,9.11E-11,1
47.94681885,566.0020612,1298.407547,453.1200422,567.0619466,0.348981368,0.435920187,1531,370.65,0.242096669,736,67.16981132,86.03773585,1438,3.785714286,0.077515509,0.120297165,0.012243996,0.644366883,0.369021889,0.572689098,-2.117790218,400.9733478,498.9265629,0.803672078,628495.2586,1.244288593,6.505272116,2483.234524,0.539622642,0.540229885,0.843971631,0.144927536,49.49641217,50.79773538,48.26310199,44.06130268,0.410228307,0.589771693,256.8265493,307.9420993,0.571039319,0.428960681,377.0245523,326.7724011,0.507930923,0.492069077,322.5735493,317.4968808,0.846540838,0.829662367,2.455114553,2.270043404,2.355090466,3.47E-05,2.89E-05,2.89E-05,177960,134980,0.007899529,0.007359683,3.37E-05,1.00E-10,8.37E-11,2
